hi,"Year 1","Year 2","Year 3","Year 4","Year 5",Selected,Active,Barcode(s),"Asset Type","Asset Name",Category,Course
630,No,No,No,No,No,No,Yes,DMM00109,0,"Tascam HDP2 no. 3","Portable Recorders",
631,No,No,No,No,No,No,No,DMM00110,0,"Tascam HDP2 no. 4","Portable Recorders",
632,No,No,No,No,No,No,Yes,DMM00162,0,"Tascam MH40","Headphones and Headphone amps",
633,No,No,No,No,Yes,Yes,Yes,TB7,1,"TB07 - Listening room (49)",Other,
634,No,No,No,No,No,No,Yes,DMM01026,0,"Teenage Engineering OP-1 Sampling Synthesizer","Computer Interfaces & Peripherals","UOS / CMT"
635,No,No,No,No,No,No,Yes,DMM00205,0,"Tree kit no. 1","Trees & stereo bars",
636,No,No,No,No,No,No,No,DMM00206,0,"Tree kit no. 2","Trees & stereo bars",
637,No,Yes,No,Yes,Yes,Yes,Yes,TVAllGalleries,1,"TV Studio - All Galleries (07AAC01)","TV Studio Rooms",
638,No,Yes,No,Yes,Yes,Yes,Yes,TVFloor,1,"TV Studio - Floor (07AC01)","TV Studio Rooms",
639,No,Yes,No,Yes,Yes,Yes,Yes,TVSound,1,"TV Studio - Sound (07BAC01)","TV Studio Rooms",
640,No,Yes,No,Yes,Yes,Yes,Yes,TVVision,1,"TV Studio - Vision (07CAC01)","TV Studio Rooms",
641,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00911,0,"UltraSync One",Camcorders,FPBE
642,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00912,0,"UltraSync One No.2",Camcorders,FPBE
643,No,Yes,No,Yes,No,Yes,Yes,VanA,0,"Van A (BP17 YKA)",Vans,
644,No,Yes,No,Yes,No,Yes,Yes,VanB,0,"Van B (BP17 YKB)",Vans,
645,No,No,No,No,No,No,Yes,DMM00833,0,"VariCam LT",Camcorders,"FASS / DMA"
646,No,No,No,No,No,No,Yes,DMM00782,0,Vibraphone,"Musical Instruments",
647,No,No,No,No,No,No,Yes,DMM01084,0,"Victory - Sheriff 22 Head.","Monitors and Amps, Performance equipment",
648,No,No,No,No,No,No,Yes,DMM01092,0,"Victory -  V212-VB Gold Cab","Monitors and Amps, Performance equipment",
649,No,No,No,No,No,No,Yes,DMM01085,0,"Victory -  V212-VH Cab","Monitors and Amps, Performance equipment",
650,No,No,No,No,No,No,Yes,DMM01091,0,"Victory - VC35 Copper Head","Monitors and Amps, Performance equipment",
