hi,"Year 1","Year 2","Year 3","Year 4","Year 5",Selected,Active,Barcode(s),"Asset Type","Asset Name",Category,Course
113,No,No,No,No,No,No,Yes,DMM00725,0,"Beyerdynamic MCE5.11","TV Studio Microphones",
114,No,No,No,No,No,No,Yes,DMM00726,0,"Beyerdynamic Opus 51","TV Studio Microphones",
115,No,No,No,No,No,No,Yes,DMM00039,0,"Beyerdynamic TG D57c x3 kit","Microphones, Directivity: Cardioid, Type: Condenser, Brand: Beyerdynamic",
116,No,No,No,No,No,No,Yes,DMM00042,0,"B&K 4011 x2 kit","Microphones, Brand: B&K/DPA, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm",
117,No,No,No,No,No,No,Yes,DMM00821,0,"Blackmagic MultiDock","Computer Interfaces & Peripherals",
118,No,No,No,No,Yes,Yes,Yes,DMM00377,0,"Blackmagic Production Camera 4K",Camcorders,
119,No,No,No,No,No,No,Yes,DMM00676,0,"Blackstar HT Club 40","Monitors and Amps, Performance equipment",
120,No,No,No,No,No,No,No,DMM00927,0,"Black XLR 1",Cables,
121,No,No,No,No,No,No,No,DMM00928,0,"Black XLR 2",Cables,
122,No,No,No,No,No,No,Yes,DMM00776,0,"Bongos (With Stand)","Musical Instruments",
123,No,No,No,No,No,No,Yes,DMM00521,0,"Boom pole","Tripods & Mounts",
124,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00231, DMM00232",0,"Boom Pole - 3m","Tripods & Mounts",
125,No,No,No,No,No,No,Yes,DMM00154,0,"Bricasti no. 1","Effects units and pre amps",
126,No,No,No,No,No,No,Yes,DMM00155,0,"Bricasti no. 2","Effects units and pre amps",
127,No,No,No,No,No,No,Yes,CagedKit,0,"Caged Kit 1","Musical Instruments",
128,No,No,No,No,No,No,Yes,CagedKit2,0,"Caged Kit 2","Musical Instruments",
129,No,No,No,No,No,No,Yes,DMM00043,0,"Calrec CB20","Microphones, Directivity: Omni, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm, Brand: Calrec",
130,No,No,No,No,No,No,Yes,DMM00727,0,"CALREC CB20c CC50 No. 1","TV Studio Microphones",
131,No,No,No,No,No,No,Yes,DMM00044,0,"Calrec CM1050 x2","Microphones, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm, Brand: Calrec",
132,No,No,No,No,No,No,Yes,DMM00728,0,"Calrec No. 2","TV Studio Microphones",
133,No,No,No,No,No,No,No,DMM00045,0,"Calrec Soundfield MK4","Microphones, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Brand: Calrec",
134,No,No,No,No,No,No,Yes,DMM00119,0,"Canford no. 1","Monitors and Amps",
135,No,No,No,No,No,No,Yes,DMM00120,0,"Canford no. 2","Monitors and Amps",
136,No,No,No,No,No,No,No,DMM01063,0,"Canford no. 3","Monitors and Amps",
137,No,No,No,No,No,No,No,DMM00442,0,"Canon 5D Kit","DSLR Cameras",
138,No,No,No,No,No,No,Yes,DMM00001,0,"Canon 5D Kit","DSLR Cameras",
139,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00446, DMM00452, DMM00457, DMM00462, DMM00467, DMM00472, DMM00477, DMM00482, DMM00487, DMM00492, DMM00497, DMM00502, DMM00507",0,"Canon 6D ","DSLR Cameras",
140,No,No,No,No,No,No,Yes,DMM00823,0,"Canon 70D","DSLR Cameras",Ton
141,No,No,No,No,No,No,No,DMM00824,0,"Canon 70D No .2","DSLR Cameras",Ton
142,No,No,No,No,Yes,Yes,Yes,DMM00197,1,"Car park space 1","PATS Parking",
143,No,No,No,No,Yes,Yes,Yes,DMM00198,1,"Car park space 2","PATS Parking",
144,No,No,No,No,Yes,Yes,Yes,DMM00199,1,"Car park space 3","PATS Parking",
145,No,No,No,No,No,No,Yes,DMM00048,0,C-Ducer,Microphones,
146,No,No,No,No,No,No,Yes,DMM00777,0,"Chamber Organ","Musical Instruments",
147,No,Yes,No,Yes,Yes,Yes,Yes,DMM01078,0,"ChromaFlex And LiteRing","Lighting Accessories",
148,No,No,No,No,No,No,Yes,DMM01117,0,"Clash Cymbals - Orchestral.",Stock,
149,No,Yes,No,Yes,Yes,Yes,Yes,CMTStudio,1,"CMT Studio (13 AC 01)","Media Labs",
150,No,No,No,No,No,No,Yes,DMM00046,0,"Coles  4038 kit 1","Microphones, Type: Ribbon, Directivity: Fig-8, Brand: Coles",
151,No,No,No,No,No,No,Yes,DMM00047,0,"Coles  4038 kit 2","Microphones, Type: Ribbon, Directivity: Fig-8, Brand: Coles",
152,No,No,No,No,No,No,Yes,DMM01123,0,"Coles 4038 Stereo Bar","Trees & stereo bars",
153,No,Yes,No,Yes,Yes,Yes,Yes,DMM00905,0,"Colorchecker PASSPORT VIDEO",Camcorders,FPBE
154,No,No,No,No,No,No,Yes,DMM00166,0,"Complete HP kit 1 (DT150+box+lead)","Headphones and Headphone amps",
155,No,No,No,No,No,No,Yes,DMM00167,0,"Complete HP kit 2 (DT150+box+lead)","Headphones and Headphone amps",
156,No,No,No,No,No,No,Yes,DMM00778,0,"Conga No. 1","Musical Instruments",
157,No,No,No,No,No,No,Yes,DMM00779,0,"Conga No. 2","Musical Instruments",
158,No,No,No,No,No,No,Yes,DMM00176,0,"Cortex MK2 HATS","Research equipment",
159,No,No,No,No,No,No,Yes,DMM01052,0,"Countryman EM-101 No. 1","Microphones, Directivity: Omni, Type: Condenser, Type: Lavalier",
160,No,No,No,No,No,No,Yes,DMM01053,0,"Countryman EM-101 No. 2","Microphones, Directivity: Omni, Type: Condenser, Type: Lavalier",
161,No,No,No,No,No,No,Yes,"DMM00729, DMM00730, DMM00731, DMM00732",0,"Countryman ","TV Studio Microphones",
162,No,No,No,No,No,No,Yes,"DMM01139, DMM01137, DMM01138, DMM01136",0,"C-Stand 40"" With Sliding Leg","Tripods & Mounts",FPBE
163,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00914,0,"C-Stand no1","Tripods & Mounts",FPBE
164,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00913,0,"C-Stand no2","Tripods & Mounts",FPBE
165,No,No,No,No,No,No,Yes,DMM01154,0,"CTO Gel Kit",,FPBE
166,Yes,Yes,No,Yes,Yes,Yes,Yes,ResolveDongle,0,"DaVinci Resolve Studio Dongle",,
167,No,No,No,No,No,No,Yes,DMM01155,0,"Daylight Filters (5 Colour ) Kit",Filters,FPBE
168,No,No,No,No,No,No,Yes,DMM00114,0,"DDA 24-channel console no. 1","Portable Consoles",
169,No,No,No,No,No,No,Yes,DMM00115,0,"DDA 24-channel console no. 2","Portable Consoles",
170,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00557, DMM00570",0,"Dedo LED Light Kit",Lighting,
171,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00522, DMM00528",0,"Dedo Light Kit",Lighting,
172,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00534,0,"Dedo Light Projector kit",Lighting,
173,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00864,0,"DJI Ronin-MX","Tripods & Mounts",FPBE
174,No,No,No,No,No,No,Yes,"DMM00233, DMM00244, DMM00255, DMM00266",0,"DMA Sound Kit","Portable Recorders",
175,No,No,No,No,No,No,Yes,DMM00277,0,"DMA Sound Kit 5","Portable Recorders",
176,No,No,No,No,No,No,Yes,DoubleBass,0,"Double Bass","Musical Instruments",
177,No,No,No,No,No,No,Yes,DMM00049,0,"DPA 4006 x2 kit 1","Microphones, Brand: B&K/DPA, Directivity: Omni, Type: Condenser, Type: Small Diaphragm",
178,No,No,No,No,No,No,Yes,DMM00874,0,"DPA 4006 x2 kit 2","Microphones, Brand: B&K/DPA, Directivity: Omni, Type: Condenser, Type: Small Diaphragm",Ton
179,No,No,No,No,No,No,Yes,DMM00050,0,"DPA 4011 x2 kit","Microphones, Brand: B&K/DPA, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm",
180,No,No,No,No,No,No,Yes,DMM00051,0,"DPA 4015 x2 kit","Microphones, Brand: B&K/DPA, Directivity: Sub, Type: Condenser, Type: Small Diaphragm",
181,No,No,No,No,No,No,Yes,"DMM00288, DMM00289, DMM00290, DMM00860, DMM01133",0,"DPA 4060 x2","Microphones, Brand: B&K/DPA",
182,No,No,No,No,No,No,Yes,DMM00917,0,"DPA Decca Tree kit","Trees & stereo bars",
183,No,No,No,No,No,No,Yes,DMM01171,0,"DPA D:Facto 4018VL","Microphones, Brand: B&K/DPA, Directivity: Super-Cardioid",
184,No,No,No,No,No,No,Yes,DMM00052,0,"DPA SC4061 Stereo Mic Kit","Microphones, Brand: B&K/DPA, Directivity: Omni, Type: Condenser, Type: Small Diaphragm",
185,No,No,No,No,No,No,Yes,"DMM01156, DMM01157, DMM01158, DMM01159",0,"DragonFrame USB Keypad Controller","Computer Interfaces & Peripherals",FPBE
186,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01112,0,"Dual Grip Camera Should Rig","DSLR Cameras, Tripods & Mounts",
187,No,No,No,No,No,No,Yes,DMM01160,0,"Dynamixyz GoPro Head Mount",Camcorders,FPBE
188,No,No,No,No,No,No,Yes,DMM01161,0,"Edelkrone FlexTILT Head 2","Tripods & Mounts",FPBE
189,No,No,No,No,No,No,Yes,DMM01162,0,"Edelkrone HeadONE","Tripods & Mounts",FPBE
190,No,No,No,No,No,No,Yes,DMM01163,0,"Edelkrone P1 Shutter Release Cable","Tripods & Mounts",FPBE
191,No,No,No,No,No,No,Yes,DMM01165,0,"Edelkrone StandONE","Tripods & Mounts",FPBE
192,No,No,No,No,No,No,Yes,DMM01164,0,"Edelkrone Tilt Kit for HeadONE","Tripods & Mounts",FPBE
193,No,No,No,No,No,No,Yes,Edit1,1,"Edit 1 (25C)","PATS Edit Rooms",
194,No,No,No,No,No,No,Yes,Edit2,1,"Edit 2 (25D)","PATS Edit Rooms",
195,Yes,No,No,No,No,Yes,Yes,Edit3,1,"Edit 3 (25E)","PATS Edit Rooms",
196,No,No,No,No,No,No,Yes,TurnTable,0,"Edit 3 Turntable","Research equipment",
197,Yes,Yes,No,Yes,Yes,Yes,Yes,Edit4,1,"Edit 4","PATS Edit Rooms",
198,Yes,Yes,No,Yes,Yes,Yes,No,DMM00975,0,"Edit 4 Thunderbolt Adaptor",Stock,
199,Yes,Yes,No,Yes,Yes,Yes,Yes,Edit5,1,"Edit 5","PATS Edit Rooms",
200,Yes,Yes,No,Yes,Yes,Yes,No,DMM00976,0,"Edit 5 Thunderbolt Adaptor",Stock,
201,No,No,No,No,No,No,Yes,DMM01167,0,"Eigenmike64 kit",Microphones,
202,No,No,No,No,No,No,No,DMM00053,0,"Electrovoice RE20 kit 1","Microphones, Directivity: Cardioid, Type: Dynamic, Type: Large Diaphragm, Brand: Electrovoice",
203,Yes,No,No,No,No,Yes,Yes,DMM00054,0,"Electrovoice RE20 kit 2","Microphones, Directivity: Cardioid, Type: Dynamic, Type: Large Diaphragm, Brand: Electrovoice",
204,Yes,No,No,No,No,Yes,Yes,DMM00055,0,"Electrovoice RE20 kit 3","Microphones, Directivity: Cardioid, Type: Dynamic, Type: Large Diaphragm, Brand: Electrovoice",
205,No,No,No,No,No,No,Yes,DMM00967,0,"Elektron - Digitone (Polyphonic Digital Synth)","Performance equipment, Computer Interfaces & Peripherals","UOS / CMT"
206,No,No,No,No,No,No,Yes,DMM00680,0,"Fender Hotrod Deluxe","Monitors and Amps, Performance equipment",
207,No,No,No,No,No,No,Yes,DMM00862,0,"Fender Hotrod Deluxe No.2","Monitors and Amps, Performance equipment",
208,No,No,No,No,No,No,Yes,"DMM00681, DMM00682",0,"Fender P150 No. 1","Performance equipment",
209,No,No,No,No,No,No,Yes,DMM00841,0,"Fender Rumble 100 Bass AMP","Monitors and Amps, Performance equipment","UOS / Music"
210,No,No,No,No,No,No,Yes,DMM01278,0,"Field Recording Kit","Portable Recorders, Microphones, Mobile boxes, Directivity: Shotgun",
211,No,No,No,No,No,No,Yes,DMM00540,0,"Filter Kit",Filters,
212,No,Yes,No,Yes,Yes,Yes,Yes,DMM00541,0,"Filter Schneider 4x5.65 - 85",Filters,
213,No,Yes,No,Yes,Yes,Yes,Yes,DMM00542,0,"Filter Schneider 4x5.65 - Amber Sev 1",Filters,
214,No,Yes,No,Yes,Yes,Yes,Yes,DMM00543,0,"Filter Schneider 4x5.65 - Clear",Filters,
215,No,Yes,No,Yes,Yes,Yes,Yes,DMM00544,0,"Filter Schneider 4x5.65 - Coral 1/8",Filters,
216,No,Yes,No,Yes,Yes,Yes,Yes,DMM00545,0,"Filter Schneider 4x5.65 - HD Classic Soft 1/4",Filters,
217,No,Yes,No,Yes,Yes,Yes,Yes,DMM00546,0,"Filter Schneider 4x5.65 - Lin Trued Pol",Filters,
218,No,Yes,No,Yes,Yes,Yes,Yes,DMM00547,0,"Filter Schneider 4x5.65 - ND 0.6 SEH",Filters,
219,No,Yes,No,Yes,Yes,Yes,Yes,DMM00548,0,"Filter Schneider 4x5.65 - True-Streak Blue  2MM",Filters,
220,No,Yes,No,Yes,Yes,Yes,Yes,DMM00549,0,"Filter Tiffen Black Pro-mist 1/4",Filters,
221,No,No,No,No,No,No,Yes,DMM01022,0,"Focusrite Scarlett 2i2 Interface No. 1","Computer Interfaces & Peripherals","UOS / CMT"
222,No,No,No,No,No,No,Yes,DMM01023,0,"Focusrite Scarlett 2i2 Interface No. 2","Computer Interfaces & Peripherals","UOS / CMT"
223,No,No,No,No,No,No,No,DMM00767,1,"Foyer Area",Rooms,
224,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00935,0,"FPBE AKG C414-XLS Kit 1","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",FPBE
225,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00936,0,"FPBE AKG C414-XLS Kit 2","Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",
226,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00997,0,"FVPT Extension no. 1","Mains extensions",
227,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00998,0,"FVPT Extension no. 2","Mains extensions",
228,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00999,0,"FVPT Extension no. 3","Mains extensions",
229,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01001,0,"FVPT Mains Distribution no. 1","Mains distribution",
230,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01002,0,"FVPT Mains Distribution no. 2","Mains distribution",
231,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01003,0,"FVPT Mains Distribution no. 3","Mains distribution",
232,No,No,No,No,No,No,Yes,DMM01066,0,"FVPT Mains Distribution no. 4","Mains distribution",
233,Yes,Yes,No,Yes,Yes,Yes,No,"FVPTTransit, DMM00895, DMM00896, DMM00897, DMM00898",0,"FVPT Transit store Key",Stock,FPBE
234,No,No,No,No,No,No,Yes,DMM01187,0,"G:Drive 1TB #1","Hard Drives",
235,No,No,No,No,No,No,Yes,DMM01224,0,"G:Drive 1TB #10","Hard Drives",
236,No,No,No,No,No,No,Yes,DMM01226,0,"G:Drive 1TB #11","Hard Drives",
237,No,No,No,No,No,No,Yes,DMM01227,0,"G:Drive 1TB #12","Hard Drives",
238,No,No,No,No,No,No,Yes,DMM01228,0,"G:Drive 1TB #13","Hard Drives",
239,No,No,No,No,No,No,Yes,DMM01229,0,"G:Drive 1TB #14","Hard Drives",
240,No,No,No,No,No,No,Yes,DMM01230,0,"G:Drive 1TB #15","Hard Drives",
241,No,No,No,No,No,No,Yes,DMM01231,0,"G:Drive 1TB #16","Hard Drives",
242,No,No,No,No,No,No,Yes,DMM01232,0,"G:Drive 1TB #17","Hard Drives",
243,No,No,No,No,No,No,Yes,DMM01233,0,"G:Drive 1TB #18","Hard Drives",
244,No,No,No,No,No,No,Yes,DMM01234,0,"G:Drive 1TB #19","Hard Drives",
245,No,No,No,No,No,No,Yes,DMM01217,0,"G:Drive 1TB #2","Hard Drives",
246,No,No,No,No,No,No,Yes,DMM01235,0,"G:Drive 1TB #20","Hard Drives",
247,No,No,No,No,No,No,Yes,DMM01236,0,"G:Drive 1TB #21","Hard Drives",
248,No,No,No,No,No,No,Yes,DMM01218,0,"G:Drive 1TB #3","Hard Drives",
249,No,No,No,No,No,No,Yes,DMM01219,0,"G:Drive 1TB #4","Hard Drives",
250,No,No,No,No,No,No,Yes,DMM01220,0,"G:Drive 1TB #5","Hard Drives",
251,No,No,No,No,No,No,Yes,DMM01221,0,"G:Drive 1TB #6","Hard Drives",
252,No,No,No,No,No,No,Yes,DMM01222,0,"G:Drive 1TB #7","Hard Drives",
253,No,No,No,No,No,No,Yes,DMM01223,0,"G:Drive 1TB #8","Hard Drives",
254,No,No,No,No,No,No,Yes,DMM01225,0,"G:Drive 1TB #9","Hard Drives",
255,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00550, DMM00551",0,"Glidecam XR-Pro","Tripods & Mounts",
256,No,No,No,No,No,No,Yes,DMM00780,0,Glockenspiel,"Musical Instruments",
257,No,No,No,No,No,No,Yes,DMM01121,0,"Granite Temple Blocks","Musical Instruments",
258,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00689,0,"Hague DRIVE Camslide Slider","Tripods & Mounts",
259,No,No,No,No,No,No,Yes,DMM01115,0,"Haken Audio ContinuuMini","Computer Interfaces & Peripherals","UOS / CMT"
260,Yes,No,No,No,No,Yes,Yes,DMM00056,0,"Hebden Sound HS3000 x2 kit 1","Microphones, Directivity: Omni, Directivity: Cardioid, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Small Diaphragm, Brand: Hebden Sound",
261,No,No,No,No,No,No,Yes,DMM00057,0,"Hebden Sound HS3000 x2 kit 2","Microphones, Directivity: Omni, Directivity: Cardioid, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Small Diaphragm, Brand: Hebden Sound",
262,Yes,No,No,No,No,Yes,Yes,DMM00058,0,"Hebden Sound HS3000 x2 kit 3","Microphones, Directivity: Cardioid, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Small Diaphragm, Brand: Hebden Sound",
263,Yes,No,No,No,No,Yes,Yes,DMM00059,0,"Hebden Sound HS3000 x2 kit 4","Microphones, Directivity: Cardioid, Directivity: Hyper, Directivity: Sub, Type: Condenser, Type: Small Diaphragm, Brand: Hebden Sound",
264,No,Yes,No,Yes,Yes,Yes,Yes,DMM01071,0,"Hollyland MARS Pro Wireless Transmission",Stock,
265,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00638, DMM00639",0,"Hot-Shoe LED light",Lighting,
266,No,No,No,No,Yes,Yes,Yes,"DMM00748, DMM00749",0,"Ianiro Panel Light ",Lighting,
267,No,No,No,No,No,No,No,DMM00836,0,"IDS Indie Dolly Systems curved track kit",Stock,"FASS / DMA"
268,No,Yes,No,Yes,Yes,Yes,Yes,DMM00820,0,"iLok Kit 1",Stock,
269,No,Yes,No,Yes,Yes,Yes,Yes,DMM00690,0,"Indy Dolly System","Tripods & Mounts",
270,No,No,No,No,No,No,Yes,DMM00691,0,"Interfit Cor 750 Light Stand","Tripods & Mounts",
271,No,No,No,No,No,No,Yes,DMM00103,0,"JoeCo Multitrack Recorder","Portable Recorders",
272,No,Yes,No,Yes,Yes,Yes,Yes,DMM00552,0,"JVC 9"" Location Monitor","Location Video Monitors",
273,No,No,No,No,Yes,Yes,Yes,"DMM00381, DMM00385, DMM00390, DMM00796",0,"JVC Camcorder Kit",Camcorders,
274,No,No,No,No,No,No,No,DMM00822,0,"JVC No. 1 (Cam 4)",Camcorders,
275,No,No,No,No,No,No,Yes,DMM00692,0,"Kessler Pocket Jib (Camera Crane)","Tripods & Mounts",
276,No,No,No,No,No,No,Yes,DMM00143,0,"K&M Stereo bar 1 (Large)","Trees & stereo bars",
277,No,No,No,No,No,No,Yes,DMM00144,0,"K&M Stereo Bar 2 (Large)","Trees & stereo bars",
278,No,No,No,No,No,No,Yes,DMM00145,0,"K&M Stereo Bar 3 (Large)","Trees & stereo bars",
279,No,No,No,No,No,No,Yes,DMM00880,0,"K&M Stereo Bar 4 (Large)","Trees & stereo bars",
280,No,No,No,No,No,No,Yes,DMM00881,0,"K&M Stereo Bar 5 (Small)","Trees & stereo bars",
281,No,No,No,No,No,No,Yes,DMM00882,0,"K&M Stereo Bar 6 (Small)","Trees & stereo bars",
282,No,No,No,No,No,No,Yes,DMM01005,0,"K&M Stereo Bar 7 (Small)","Trees & stereo bars",
283,No,No,No,No,No,No,Yes,DMM01006,0,"K&M Stereo Bar 8 (Small)","Trees & stereo bars",
284,No,No,No,No,No,No,Yes,DMM01031,0,"Koma Field Kit Electro Acoustic Workstation","Computer Interfaces & Peripherals",
285,No,No,No,No,No,No,Yes,DMM01030,0,"Koma Field Kit FX","Computer Interfaces & Peripherals",
286,No,No,No,No,No,No,Yes,DMM01035,0,"Korg Minilogue XD","Musical Instruments, Computer Interfaces & Peripherals","UOS / CMT"
287,No,No,No,No,No,No,Yes,DMM01020,0,"Korg MS-20 Mini Synthesizer 1","Performance equipment, Musical Instruments","UOS / CMT"
288,No,No,No,No,No,No,Yes,DMM01021,0,"Korg MS-20 Mini Synthesizer 2","Performance equipment, Musical Instruments","UOS / CMT"
289,No,No,No,No,No,No,Yes,"DMM01041, DMM01061, DMM01042, DMM01043, DMM01044, DMM01045, DMM01046, DMM01040, DMM01059, DMM01060",0,"Korg nanoKONTROL2","Computer Interfaces & Peripherals","UOS / CMT"
290,No,No,No,No,No,No,Yes,DMM01024,0,"Korg SQ-1 Analogue Step Sequencer","Computer Interfaces & Peripherals","UOS / CMT"
291,No,No,No,No,No,No,Yes,DMM01067,0,"Korg SQ-64 Poly Sequencer","Computer Interfaces & Peripherals","UOS / CMT"
292,No,No,No,No,No,No,Yes,DMM01237,0,"Lacie 1TB USB-C HD #1","Hard Drives",
293,No,No,No,No,No,No,Yes,DMM01246,0,"Lacie 1TB USB-C HD #10","Hard Drives",
294,No,No,No,No,No,No,Yes,DMM01247,0,"Lacie 1TB USB-C HD #11","Hard Drives",
295,No,No,No,No,No,No,Yes,DMM01248,0,"Lacie 1TB USB-C HD #12","Hard Drives",
296,No,No,No,No,No,No,Yes,DMM01249,0,"Lacie 1TB USB-C HD #13","Hard Drives",
297,No,No,No,No,No,No,Yes,DMM01250,0,"Lacie 1TB USB-C HD #14","Hard Drives",
298,No,No,No,No,No,No,Yes,DMM01251,0,"Lacie 1TB USB-C HD #15","Hard Drives",
299,No,No,No,No,No,No,Yes,DMM01252,0,"Lacie 1TB USB-C HD #16","Hard Drives",
300,No,No,No,No,No,No,Yes,DMM01253,0,"Lacie 1TB USB-C HD #17","Hard Drives",
301,No,No,No,No,No,No,Yes,DMM01238,0,"Lacie 1TB USB-C HD #2","Hard Drives",
302,No,No,No,No,No,No,Yes,DMM01239,0,"Lacie 1TB USB-C HD #3","Hard Drives",
303,No,No,No,No,No,No,Yes,DMM01240,0,"Lacie 1TB USB-C HD #4","Hard Drives",
304,No,No,No,No,No,No,Yes,DMM01241,0,"Lacie 1TB USB-C HD #5","Hard Drives",
305,No,No,No,No,No,No,Yes,DMM01242,0,"Lacie 1TB USB-C HD #6","Hard Drives",
306,No,No,No,No,No,No,Yes,DMM01243,0,"Lacie 1TB USB-C HD #7","Hard Drives",
307,No,No,No,No,No,No,Yes,DMM01244,0,"Lacie 1TB USB-C HD #8","Hard Drives",
308,No,No,No,No,No,No,Yes,DMM01245,0,"Lacie 1TB USB-C HD #9","Hard Drives",
309,No,No,No,No,No,No,Yes,DMM01255,0,"Lacie Mini 1TB HD #18","Hard Drives",
310,No,No,No,No,No,No,Yes,DMM01256,0,"Lacie Mini 1TB HD #19","Hard Drives",
311,No,No,No,No,No,No,Yes,DMM01257,0,"Lacie Mini 1TB HD #20","Hard Drives",
312,No,No,No,No,No,No,Yes,DMM01258,0,"Lacie Mini 1TB HD #21","Hard Drives",
313,No,No,No,No,No,No,Yes,DMM01259,0,"Lacie Mini 1TB HD #22","Hard Drives",
314,No,No,No,No,No,No,Yes,DMM01260,0,"Lacie Mini 1TB HD #23","Hard Drives",
315,No,No,No,No,No,No,Yes,DMM01261,0,"Lacie Mini 1TB HD #24","Hard Drives",
316,No,No,No,No,No,No,Yes,DMM01262,0,"Lacie Mini 1TB HD #25","Hard Drives",
317,No,No,No,No,No,No,Yes,DMM01263,0,"Lacie Mini 1TB HD #26","Hard Drives",
318,No,No,No,No,No,No,Yes,DMM01264,0,"Lacie Mini 1TB HD #27","Hard Drives",
319,No,No,No,No,No,No,Yes,DMM01265,0,"Lacie Mini 1TB HD #28","Hard Drives",
320,No,No,No,No,No,No,Yes,DMM01266,0,"Lacie Mini 1TB HD #29","Hard Drives",
321,No,No,No,No,No,No,Yes,DMM01277,0,"Lacie Mini 1TB HD #30","Hard Drives",
322,No,No,No,No,No,No,Yes,DMM00211,0,"Large mic stand no. 1","Microphone stands",
323,No,No,No,No,No,No,Yes,DMM00212,0,"Large mic stand no. 2","Microphone stands",
324,No,Yes,No,Yes,Yes,Yes,Yes,DMM00910,0,"Lastolite EzyBalance","Lighting Accessories",
325,No,Yes,No,Yes,Yes,Yes,Yes,DMM01107,0,"Lastolite EzyBalance","Lighting Accessories",
326,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00553, DMM00554",0,"Lastolite Reflector - Large","Lighting Accessories",
327,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00555, DMM00640, DMM00556, DMM00641, DMM00642",0,"Lastolite Reflector - Medium","Lighting Accessories",
328,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00643, DMM00644, DMM00645",0,"Lastolite Reflector - Small","Lighting Accessories",
329,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01017,0,"Lastolite SkyRapid Fabric Diffuser Square","Lighting Accessories",
330,No,No,No,No,No,No,Yes,"DMM00812, DMM00813, DMM00814, DMM00815",0,"Leap Motion Controller","Computer Interfaces & Peripherals",
331,Yes,Yes,No,Yes,Yes,Yes,Yes,LTC,1,"Lecture Theatre C (LTC)","TV Studio Rooms, Other",
332,No,No,No,No,No,No,Yes,DMM00825,0,"LED Lighting Kit 1",Lighting,Ton
333,No,No,No,No,No,No,Yes,DMM00826,0,"LED Lighting Kit 2",Lighting,Ton
334,No,No,No,No,No,No,Yes,DMM00152,0,"Lexicon LARC","Effects units and pre amps",
335,No,Yes,No,No,No,Yes,Yes,"DMM00693, DMM00694, DMM00695, DMM00696, DMM00697, DMM00698, DMM00699, DMM00700, DMM00701, DMM00702, DMM00703",0,"Libec Tripod","Tripods & Mounts",
336,No,Yes,No,Yes,Yes,Yes,No,"DMM01080, DMM01081, DMM01082, DMM01083",0,"Lilliput LCD Field Monitor","Location Video Monitors",
337,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00588, DMM00589",0,"Lishuai LED Panel",Lighting,
338,No,Yes,No,Yes,Yes,Yes,Yes,"DMM00590, DMM00591, DMM00592",0,"Location Floor Monitor","Location Video Monitors",
339,No,No,No,No,No,No,Yes,DMM00890,0,"Location Monitor Kit 1","Monitors and Amps, Mobile boxes",Ton
340,No,No,No,No,No,No,Yes,DMM00891,0,"Location Monitor Kit 2","Monitors and Amps, Mobile boxes",Ton
341,No,No,No,No,No,No,Yes,DMM00646,0,"Lowel ID Light with barn doors",Lighting,
342,No,No,No,No,No,No,Yes,DMM00010,1,"Lower Foyer","PATS Rooms",
343,No,No,No,No,No,No,Yes,DMM01101,0,"Ludwig - 402 Supraphonic Snare","Musical Instruments",
